002,BANK BRI
014,BANK BCA
008,BANK MANDIRI
009,BANK BNI
427,BANK BNI SYARIAH
451,BANK SYARIAH MANDIRI (BSM)
022,BANK CIMB NIAGA
022,BANK CIMB NIAGA SYARIAH
147,BANK MUAMALAT
213,BANK BTPN
547,BANK BTPN SYARIAH
213,JENIUS
422,BANK BRI SYARIAH
200,BANK BTN
013,BANK PERMATA
011,BANK DANAMON
016,BANK BII MAYBANK
426,BANK MEGA
153,BANK SINARMAS
950,BANK COMMONWEALTH
028,BANK OCBC NISP
441,BANK BUKOPIN
521,BANK BUKOPIN SYARIAH
536,BANK BCA SYARIAH
026,BANK LIPPO
031,CITIBANK
789,INDOSAT DOMPETKU
911,TELKOMSEL TCASH
911,LINKAJA
110,BANK JABAR
111,BANK DKI JAKARTA
112,BPD DIY (YOGYAKARTA)
113,BANK JATENG (JAWA TENGAH)
114,BANK JATIM (JAWA BARAT)
115,BPD JAMBI
116,BPD ACEH
116,BPD ACEH SYARIAH
117,BANK SUMUT
118,BANK NAGARI (BANK SUMBAR)
119,BANK RIAU KEPRI
120,BANK SUMSEL BABEL
121,BANK LAMPUNG
122,BANK KALSEL (BANK KALIMANTAN SELATAN)
123,BANK KALBAR (BANK KALIMANTAN BARAT)
124,BANK KALTIMTARA (BANK KALIMANTAN TIMUR DAN UTARA)
125,BANK KALTENG (BANK KALIMANTAN TENGAH)
126,BANK SULSELBAR (BANK SULAWESI SELATAN DAN BARAT)
127,BANK SULUTGO (BANK SULAWESI UTARA DAN GORONTALO)
128,BANK NTB
128,BANK NTB SYARIAH
129,BANK BPD BALI
130,BANK NTT
131,BANK MALUKU MALUT
132,BANK PAPUA
133,BANK BENGKULU
134,BANK SULTENG (BANK SULAWESI TENGAH)
135,BANK SULTRA
137,BANK BPD BANTEN
003,BANK EKSPOR INDONESIA
019,BANK PANIN
517,BANK PANIN DUBAI SYARIAH
020,BANK ARTA NIAGA KENCANA
023,BANK UOB INDONESIA (BANK BUANA INDONESIA)
030,AMERICAN EXPRESS BANK LTD
031,CITIBANK N.A.
032,JP. MORGAN CHASE BANK
033,BANK OF AMERICA
034,ING INDONESIA BANK
036,BANK MULTICOR
037,BANK ARTHA GRAHA INTERNASIONAL
039,BANK CREDIT AGRICOLE INDOSUEZ
040,THE BANGKOK BANK COMP. LTD
041,BANK HSBC
042,THE BANK OF TOKYO MITSUBISHI UFJ LTD
045,BANK SUMITOMO MITSUI INDONESIA
046,BANK DBS INDONESIA
046,DIGIBANK
047,BANK RESONA PERDANIA
048,BANK MIZUHO INDONESIA
050,STANDARD CHARTERED BANK
052,BANK ABN AMRO
053,BANK KEPPEL TATLEE BUANA
054,BANK CAPITAL INDONESIA
057,BANK BNP PARIBAS INDONESIA
023,BANK UOB INDONESIA
059,KOREA EXCHANGE BANK DANAMON
060,RABOBANK INTERNASIONAL INDONESIA
061,BANK ANZ INDONESIA
068,BANK WOORI SAUDARA
069,BANK OF CHINA
076,BANK BUMI ARTA
087,BANK EKONOMI
088,BANK ANTARDAERAH
089,BANK HAGA
093,BANK IFI
095,BANK CENTURY
097,BANK MAYAPADA
145,BANK NUSANTARA PARAHYANGAN
146,BANK SWADESI (BANK OF INDIA INDONESIA)
151,BANK MESTIKA DHARMA
152,BANK SHINHAN INDONESIA (BANK METRO EXPRESS)
157,BANK MASPION INDONESIA
159,BANK HAGAKITA
161,BANK GANESHA
162,BANK WINDU KENTJANA
164,BANK ICBC INDONESIA (HALIM INDONESIA BANK)
166,BANK HARMONI INTERNATIONAL
167,BANK QNB KESAWAN (BANK QNB INDONESIA)
212,BANK HIMPUNAN SAUDARA 1906
405,BANK SWAGUNA
459,BANK BISNIS INTERNASIONAL
466,BANK SRI PARTHA
472,BANK JASA JAKARTA
484,BANK BINTANG MANUNGGAL
485,BANK MNC INTERNASIONAL (BANK BUMIPUTERA)
490,BANK YUDHA BHAKTI
491,BANK MITRANIAGA
494,BANK BRI AGRO NIAGA
498,BANK SBI INDONESIA (BANK INDOMONEX)
501,BANK ROYAL INDONESIA
503,BANK NATIONAL NOBU (BANK ALFINDO)
506,BANK MEGA SYARIAH
513,BANK INA PERDANA
517,BANK HARFA
520,PRIMA MASTER BANK
521,BANK PERSYARIKATAN INDONESIA
525,BANK AKITA
526,LIMAN INTERNATIONAL BANK
531,ANGLOMAS INTERNASIONAL BANK
523,BANK SAHABAT SAMPEORNA (BANK DIPO INTERNATIONAL)
535,BANK KESEJAHTERAAN EKONOMI
542,BANK ARTOS INDONESIA
547,BANK PURBA DANARTA
548,BANK MULTI ARTA SENTOSA
553,BANK MAYORA INDONESIA
555,BANK INDEX SELINDO
566,BANK VICTORIA INTERNATIONAL
558,BANK EKSEKUTIF
559,CENTRATAMA NASIONAL BANK
562,BANK FAMA INTERNASIONAL
564,BANK MANDIRI TASPEN POS (BANK SINAR HARAPAN BALI)
567,BANK HARDA
945,BANK AGRIS (BANK FINCONESIA)
946,BANK MERINCORP
947,BANK MAYBANK INDOCORP
948,BANK OCBC INDONESIA
949,BANK CTBC (CHINA TRUST) INDONESIA
425,BANK BJB SYARIAH
688,BPR KS (KARYAJATNIKA SEDAYA)
